,0
0,0
1,00
2,000
3,0000
4,0005sec
5,0006520978
6,001
7,001380561
8,0050445599
9,0147600470
10,01teemah
11,02
12,038
13,0433022560
14,0608507140
15,0645pm
16,07040004422
17,07052316248
18,073
19,08
20,08083510644
21,08091111463
22,08117662303
23,090110210807012404345983544457
24,090110210807012541811799319131
25,09032048092
26,0liminati
27,0xadekolapo
28,1
29,10
30,100
31,1000
32,10000
33,100000
34,1000000
35,100000k
36,10000naira
37,1000124289
38,1000254991
39,1000258762
40,1000334103
41,1000337018
42,1000337843
43,1000339926
44,1000366593
45,1000369257
46,1000377717
47,1000384854
48,1000400884
49,1000406491
50,1000407821
51,1000408505
52,1000410283
53,1000410946
54,1000412861
55,1000415116
56,1000415752
57,1000417079
58,1000419736
59,10004223858
60,100042563294
61,1000435419
62,1000437774
63,1000438094
64,1000443230
65,1000443852
66,1000450308
67,1000452010
68,1000456290
69,1000459820
70,1000462141
71,1000462684
72,1000468291
73,1000472076
74,1000472258
75,1000484620
76,1000492939
77,1000495277
78,1000495428
79,1000497288
80,1000502960
81,1000511544
82,1000520568
83,1000526773
84,1000527983
85,1000541349biko
86,1000543958
87,1000547114
88,1000556028
89,1000556523
90,1000557991
91,1000563086
92,1000565626
93,1000570460
94,1000571670
95,1000574341
96,1000578318
97,1000587105
98,1000591179
99,1000593111
100,1000593922
101,1000597865
102,1000598965
103,1000601186
104,1000611808
105,1000626628
106,1000633806
107,1000636326
108,1000639035
109,1000641933
110,1000642851
111,1000648396
112,1000655543
113,1000658001
114,1000661645
115,1000681955
116,1000687017
117,1000690003
118,1000693073
119,1000698621
120,1000706067
121,1000707088
122,1000709680
123,1000720818
124,1000726391
125,1000726669
126,1000733926
127,1000740331
128,1000743459
129,1000746003
130,1000748124
131,1000749042
132,1000752545
133,1000758066
134,1000760036
135,1000763927
136,1000768355
137,1000780171
138,1000791948
139,1000797751thanks
140,1000801993
141,1000804286
142,1000819855
143,1000825294
144,1000847223
145,1000855628
146,1000856285
147,1000864958
148,1000872212
149,1000877066
150,1000881937
151,1000889586
152,1000890346
153,1000894997
154,1000896678
155,1000902467
156,1000904272
157,1000931818
158,1000951221
159,1000986801
160,1000986887
161,1000992738
162,1000993498
163,1000995722
164,1001003206
165,1001010903
166,1001029415
167,1001072648
168,1001076598
169,1001083848
170,1001095052
171,1001101047
172,1001102491
173,1001122392
174,1001137040
175,1001145438
176,1001151743
177,1001161207
178,1001192731
179,1001253386
180,1001257360
181,1001300981
182,1001302796
183,1001315835
184,1001444753
185,10014804801
186,1001563148
187,1001568978
188,1001571828
189,1001574276
190,1001575307
191,1001586033
192,1001613988
193,1001614909
194,1001614923
195,1001623239
196,1001650851
197,1001652910
198,1001654433
199,1001655674
200,1001655791
201,1001660607
202,1001662845
203,1001675647
204,1001675953
205,1001679700
206,1001679999
207,1001684049
208,1001700770
209,1001701849
210,1001723737
211,1001738894
212,1001795888
213,100200
214,1002101185
215,1002341543
216,1002365215
217,1002367491
218,1002370365
219,1002388966
220,1002390022
221,1002424512
222,1002576875
223,1002579711
224,1002601276
225,1002604813
226,1002605724
227,1002630407
228,1002743989
229,1002755540
230,1002784692
231,1002814816
232,1002827931
233,1002840211
234,1002866420
235,1002894829
236,1002895572
237,1002898614
238,1002900728
239,1002903437
240,1002903822
241,1002904977
242,1002907253
243,1002914448
244,1002919285
245,1002924861
246,1002935690
247,1002936491
248,1002987194
249,1003041981
250,1003058516
251,1003076248
252,1003077362
253,1003079902
