words,sentiment_coefficient
account,-36.83307840572611
get,-45.02544228076502
dey,-40.34027242197596
money,-46.03742808055184
Hello,-32.01004591351953
bank,-44.56733340022207
app,-41.62042384855248
go,-45.84516401989261
please,-46.58133430501933
Vbank,-45.260957459970435
ayrastarr,-48.096449666749514
make,-43.741546132186535
V,-41.695527740738264
abegapp,-46.227044667661396
na,-45.590804076120044
like,-52.84523854393705
help,-41.22410569211067
use,-44.76233754578009
see,-47.11527860362557
need,-45.06052752247116
open,-42.804372613644134
vbank,-50.02063150463776
us,-44.78717586351103
Thank,-50.290223909673095
still,-47.176616899291865
Please,-54.165496537522785
want,-50.31143680851512
u,-47.90112596941408
one,-52.63375901547798
abeg,-44.944284556004874
DM,-41.7098127175226
Im,-48.39729065139133
day,-48.92289106178767
Bolanle,-52.41097776937029
guys,-48.837525657165926
know,-49.991228883509905
say,-43.43898617105581
since,-46.8787787748358
people,-52.1490994426089
today,-48.464487385650216
send,-54.59498593265389
card,-45.48578842724799
time,-48.00748390544925
even,-53.080427594473534
using,-53.54781237335968
Thanks,-54.04163446720548
never,-51.887696235925844
sir,-46.718252483741615
boss,-41.34727794496392
Baba,-43.10169735132027
Na,-51.94441214827769
transfer,-51.47342272177317
details,-38.71580017601572
best,-50.41964598381228
love,-51.954269283119636
transaction,-46.284972177831385
dont,-52.31990179037336
una,-45.2341600337034
kudabank,-47.95955408017678
charges,-31.95190109450255
issue,-42.89691479104322
cant,-51.62960167960624
would,-42.570284991870714
bless,-51.923148169873485
giveaway,-47.295636402366206
God,-50.48747755673392
baba,-48.40262949019823
way,-52.47453821291463
new,-52.08406202750012
much,-55.180970581802995
NonsoMOkpala,-46.22945157364993
kindly,-42.54910326946885
transactions,-46.7326860043309
also,-48.68169707700129
complaint,-41.892285257183374
got,-54.753543745727875
itsLaycon_theflutterwave,-50.7450142942101
TheOladeile_kudabank,-49.80266570611211
give,-51.52609183956972
come,-54.55424965167836
better,-54.17417771863892
done,-51.701418939064176
banking,-47.87107850810506
year,-45.90154419147019
back,-53.07950104474315
ooo,-52.43800250476167
Ive,-53.21468858754195
pls,-52.54328544459359
good,-51.75761076336214
really,-52.4216158984574
first,-46.52900632229404
always,-51.88813021712959
start,-52.474045166238874
take,-50.59455910699681
hope,-50.85278775707235
oo,-53.55056656559241
assist,-39.55963929386878
wey,-50.45955731877337
Make,-54.51949357395858
already,-53.54353405439786
Kindly,-42.11798290856044
wakawakadoctor,-57.9956281697338
banks,-53.16001621304155
I’m,-51.99206243098884
try,-56.83546901154951
ur,-50.70469476609498
made,-51.0517246013611
Abeg,-53.511088234466435
fit,-54.329496341802965
us_DM,-37.77948769053003
birthday,-52.389927773623874
account_number,-46.54048134610659
something,-52.53378128092054
well,-54.35227571155827
OrijinNigeria_MENTOSNigeria,-52.47018888049092
trying,-48.4687773552918
going,-51.82782832398949
e,-52.21795790284449
sent,-50.09469700638107
3,-46.20131166167453
win,-47.10747677804565
life,-51.07527281763529
small,-54.00040190639917
follow,-55.753382583329575
opened,-53.21216601701952
yet,-52.26917836136345
Bank,-49.01629837268933
working,-52.02415153517902
right,-51.59109969557474
2,-48.35343862244116
dm,-50.22691046771033
bio,-46.469872240514846
Bet_BetwayNigeria,-2.396828882152069
let,-51.92591527797979
phone,-53.75627383253591
thank,-54.73000570286949
interest,-35.40344010921942
thing,-50.558205088910356
enjoy,-45.56569607001884
reach,-53.75935450700851
limit,-50.43252651626068
person,-53.22892517373934
amp,-47.15918824873124
100k,-48.87243925468166
resolved,-40.5728112047155
month,-47.61793586722965
work,-56.64456299774531
don’t,-52.99925988332861
Please_send,-38.284979020939744
fund,-54.345883754097606
Hello_concerned,-36.69521685253577
till,-42.5426209141146
1,-51.60593795098564
referral_code,-46.5538395545186
